100
0.0,62.5,10.1
60.0,122.3,5.5
30.0,160.7,7.8
45.5,98.2,8.3
12.8,85.4,6.7
55.2,130.8,7.2
28.4,95.6,9.1
70.5,145.2,6.4
15.6,88.9,8.8
40.2,110.5,7.5
25.7,92.3,8.2
52.8,128.6,6.9
33.4,105.8,7.6
48.9,115.4,8.0
18.2,82.7,9.3
65.3,135.9,5.8
22.6,90.1,8.5
58.7,125.4,6.2
37.9,108.3,7.9
42.1,112.7,7.4
31.5,98.8,8.6
67.8,140.2,5.6
20.3,88.5,9.0
50.6,120.9,6.8
35.2,105.7,7.7
44.8,115.3,7.3
27.9,95.4,8.4
62.1,132.6,6.0
16.4,85.2,9.5
47.3,118.6,7.1
33.8,102.4,8.1
55.9,126.7,6.5
24.5,91.8,8.7
68.4,142.1,5.4
29.7,97.3,8.2
51.2,122.8,6.7
38.6,109.5,7.5
43.9,114.2,7.2
26.1,93.6,8.8
59.8,128.9,6.1
34.5,104.1,7.8
46.7,117.3,7.0
21.9,89.7,9.2
64.2,134.5,5.9
28.3,96.2,8.4
53.4,124.6,6.6
36.1,106.8,7.6
41.5,111.9,7.3
19.8,87.3,9.4
57.2,127.5,6.3
32.9,101.6,8.0
49.4,119.8,6.9
23.7,90.9,8.9
66.7,138.4,5.7
27.5,94.8,8.5
54.6,123.7,6.5
35.7,106.2,7.7
42.8,113.4,7.2
20.5,88.1,9.3
61.4,131.2,6.0
30.6,99.5,8.3
48.2,118.7,7.0
25.1,92.4,8.8
63.8,133.6,5.8
29.2,96.8,8.4
56.3,125.9,6.4
37.4,107.6,7.6
44.1,114.8,7.1
22.3,89.9,9.1
58.9,128.3,6.2
31.2,100.3,8.2
51.8,121.4,6.8
26.8,93.7,8.7
65.9,136.8,5.6
28.7,95.9,8.5
52.1,122.5,6.7
34.8,104.7,7.8
45.7,116.1,7.0
21.2,88.8,9.2
60.5,130.1,6.1
32.3,101.2,8.1
50.1,120.2,6.9
24.2,91.2,8.9
67.2,139.3,5.5
27.1,94.3,8.6
54.9,124.2,6.6
36.5,107.1,7.5
43.2,113.8,7.2
18.9,86.5,9.5
59.4,129.4,6.0
33.1,102.8,8.0
47.8,117.9,7.1
25.9,93.1,8.8
62.7,132.2,5.9
29.8,98.1,8.3
55.6,125.1,6.5
35.9,105.9,7.7
41.8,112.3,7.3
17.5,85.8,9.6
57.8,127.1,6.2
